model,model_detay,model_yili,fiyat,sehir,ilce,ilan_turu,tip,marka,motor_hacmi,motor_tipi,donanim
Nissan X-Trail 1.6 dCi Platinum Premium Pack,HATASIZ-BOYASIZ-TRAMERSİZ Nıssan X-Trail 1.6DCİ Platinum Premium,2018,1495000,Ordu,Fatsa,galeriden,satilik,nissan,trail.1,6,dci
Renault Symbol 1.2 Authentique,2009 RENAULT SYMBOL LPGLİ HATASIZ BOYASIZ TRAMERSİZ,2009,395000,Kocaeli,Gebze,galeriden,satilik,renault,1.2,authentique,bilinmiyor
Ford Tourneo Connect 1.5 EcoBlue Titanium,FORD TOURNEO COURİER 1.5 ECOBLUE TİTANİUM HATASIZ BOYASIZ,2024,1177000,Bingöl,Merkez,galeriden,satilik,ford,connect.1,5,ecoblue
Toyota C-HR 1.8 Hybrid Flame,ARS'DEN 2021 C-HR 1.8 HYBRİD FLAME E-CVT LANSMAN-KEYLES-GERİ-AZ,2021,1209750,İstanbul,Esenyurt,galeriden,satilik,toyota,hr.1,8,hybrid
Nissan Navara 2.3 dCi 4x4,Galeriden Nissan Navara 2.3 dCi 4x4 2019 Model İzmir,2019,1500000,İzmir,Bergama,galeriden,satilik,nissan,2.3,dci,4x4
Dacia Sandero 1.5 dCi Stepway,Galeriden Dacia Sandero 1.5 dCi Stepway 2016 Model Mardin,2016,615000,Mardin,Kızıltepe,galeriden,satilik,dacia,1.5,dci,stepway
Nissan Qashqai 1.5 dCi Design Pack,AKTÜRK'TEN HATASIZ 2017 NİSSAN QASHGAİ 1.5 DCI DESİNG PACK,2017,1250000,Kocaeli,Derince,galeriden,satilik,nissan,1.5,dci,design
Iveco - Otoyol 72 160,FUL+FUL 2022 DAİLY 72C 16 4350 ŞASİ FRİGO KASA/KLİMA/140 BİN KM!,2022,1415000,Ordu,Fatsa,galeriden,satilik,iveco,72.160,bilinmiyor,bilinmiyor
Fiat Fiorino Combi 1.3 Multijet Pop,ÖZTÜRK AUTO DAN DÜŞÜK KMLİ BAKIMLI EKRANLİ FİORİNO,2013,498950,İstanbul,Bahçelievler,galeriden,satilik,fiat,combi.1,3,multijet
Ford Focus 1.5 TDCi Trend X,HATASIZ FOCUS TREND X 1.5 DİZEL OTOMATİK,2020,1210000,Ankara,Etimesgut,galeriden,satilik,ford,1.5,tdci,trend
Fiat Fiorino Combi 1.4 Eko Premio,2021 FIAT FIORINO 1.4 EKO PREMIO 42.000 KM BENZİN+FABRİKASYONLPG,2021,645000,İstanbul,Bağcılar,galeriden,satilik,fiat,combi.1,4,eko
Fiat Doblo Combi 1.6 Multijet Safeline,SIFIR TADINDA 21 BİN KM BOYASIZ GENİŞ EKRANLI 1.6 MJET DOBLO,2023,920000,Uşak,Eşme,galeriden,satilik,fiat,combi.1,6,multijet
Dacia Sandero 1.5 dCi Stepway,HATASIZ YENİ KASA 66.000 KM STEPWAY,2017,845000,İzmir,Gaziemir,galeriden,satilik,dacia,1.5,dci,stepway
Mitsubishi L 300 City van,Galeriden Mitsubishi L 300 City van 1998 Model İzmir,1998,275750,İzmir,Gaziemir,galeriden,satilik,mitsubishi,300.city,van,bilinmiyor
Renault Megane 1.3 TCe Joy Comfort,CML AUTO'DAN 2022 MEGANE 1.3 TCE OTOMATİK KREDİYE UYGUN,2022,1125000,İzmir,Buca,galeriden,satilik,renault,1.3,tce,joy
Yamaha Tracer 7,AYYILDIZ MOTORDAN/YAMAHA TRACER 7,2022,504000,Aydın,Kuyucak,galeriden,satilik,yamaha,bilinmiyor,bilinmiyor,bilinmiyor
Audi A3 Sedan 35 TFSI S-Line,YİĞİT CAR's 2021 HATASIZ BOYASIZ DEĞİŞENSİZ S-LİNE CAM TAVANLI,2021,2225000,Ankara,Çankaya,galeriden,satilik,audi,sedan.35,tfsi,s
Opel Insignia 1.6 CDTI Grand Sport Excellence,ZEY-MİR DEN 2017 MODEL 2018 ÇIKIŞLI DOLUSU,2017,1010000,Ankara,Sincan,galeriden,satilik,opel,1.6,cdti,grand
Fiat Egea 1.4 Fire Easy,HATASIZ BOYASIZ TRAMERSİZ LPG 'Lİ YENİ KASA,2021,715000,Düzce,Merkez,galeriden,satilik,fiat,1.4,fire,easy
Renault Megane 1.3 TCe Joy,HATASIZ BOYASIZ OTOMATİK 2021 MODEL,2021,1117000,Malatya,Yeşilyurt,galeriden,satilik,renault,1.3,tce,joy
Renault Clio 0.9 TCe Sport Tourer Joy,BERŞAH 2019 0.9TCE CLİO SW JOY HATASIZ-BOYASIZ 71 BİN KM..,2019,729000,Ankara,Akyurt,galeriden,satilik,renault,0.9,tce,sport
Fiat Egea Cross 1.6 Multijet Lounge,BERŞAH 2023 EGEA CROS 1.6MLTJT LOUNGE HATASIZ-BOYASIZ 50 BİN KM.,2023,1319000,Ankara,Akyurt,galeriden,satilik,fiat,cross.1,6,multijet
Renault Clio 1.0 TCe Techno Esprit Alpine,2024/9000KM/GSR2+YENİ LOGO+TESLA+NARDO/BOYA&DEĞİŞEN&TRAMER YOK,2024,1298750,Ankara,Çankaya,galeriden,satilik,renault,1.0,tce,techno
